0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:23:24 +0900] "POST /bookReviewProgram/mainSession.jsp HTTP/1.1" 200 10179
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:23:49 +0900] "POST /bookReviewProgram/bkInsertPro.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:23:50 +0900] "GET /bookReviewProgram/mainSession.jsp HTTP/1.1" 200 16916
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:23:51 +0900] "GET /bookReviewProgram/mainSession.jsp?center=mbSelectPro.jsp HTTP/1.1" 200 9709
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:23:52 +0900] "GET /bookReviewProgram/mainSession.jsp?center=bkInsertform.jsp HTTP/1.1" 200 10003
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:23:58 +0900] "POST /bookReviewProgram/mainSession.jsp HTTP/1.1" 200 10179
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:24:21 +0900] "POST /bookReviewProgram/bkInsertPro.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:24:22 +0900] "GET /bookReviewProgram/mainSession.jsp HTTP/1.1" 200 16916
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:24:23 +0900] "GET /bookReviewProgram/mainSession.jsp?center=mbSelectPro.jsp HTTP/1.1" 200 9709
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:24:24 +0900] "GET /bookReviewProgram/mainSession.jsp?center=bkAllListPro.jsp HTTP/1.1" 200 13775
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:24:24 +0900] "GET /image/bbb HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:24:24 +0900] "GET /image/ccc HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:24:24 +0900] "GET /image/java%EA%B5%90%EC%9C%A1.jpg HTTP/1.1" 200 16802
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:24:29 +0900] "GET /bookReviewProgram/mainSession.jsp?center=bkListPro.jsp&pageNum=1 HTTP/1.1" 500 4854
0:0:0:0:0:0:0:1 - - [04/Oct/2022:09:25:02 +0900] "GET /bookReviewProgram/mainSession.jsp?center=bkListPro.jsp&pageNum=2 HTTP/1.1" 500 4854
